cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
located60,sample_00211,143.422576,33.861126,75.657507,41.634730,0.926620,0.761402,0.283613,0.837149,0.587175,0.332257,0.449740,0.306240,0.342246,0.432122,0.298260,0.337637,0.695607,0.479352,0.338181,0.837126,0.587134,0.332271,-0.476881,-0.405026,0.071854
located60,sample_00213,130.849773,39.829789,75.086843,41.642276,0.924707,0.718061,0.234475,0.880299,0.547410,0.292800,0.854424,0.526280,0.295604,0.887016,0.536199,0.301203,0.856543,0.536294,0.290804,0.880272,0.547418,0.292787,-0.070283,0.006717,0.077000
located60,sample_00214,128.012779,42.816392,73.895033,41.053978,0.949540,0.781289,0.178984,0.623502,0.380756,0.241159,0.735166,0.416908,0.259692,0.822864,0.432097,0.280453,0.613485,0.380738,0.237296,0.623527,0.380765,0.241163,-0.214374,0.199361,0.413736
located60,sample_00215,134.920777,39.270844,75.460438,41.615111,0.859338,0.619666,0.216811,0.682794,0.401872,0.265630,0.626687,0.356689,0.274685,0.629270,0.356832,0.275707,0.683050,0.402664,0.265207,0.682757,0.401856,0.265626,-0.232652,-0.053524,0.179128
located60,sample_00216,131.780567,41.210015,74.970504,41.645196,0.916095,0.757908,0.213786,0.696049,0.372771,0.330257,0.546485,0.306342,0.315520,0.559907,0.305362,0.324307,0.665718,0.354959,0.331716,0.696107,0.372849,0.330216,-0.369611,-0.136142,0.233469
located60,sample_00217,127.879013,40.079258,75.560879,41.231873,0.873687,0.669470,0.144580,0.709854,0.418353,0.187980,0.756145,0.433881,0.193072,0.758125,0.435532,0.192844,0.696464,0.410987,0.187739,0.709872,0.418360,0.187981,-0.117541,0.048271,0.165812
located60,sample_00218,131.400102,37.727013,75.407950,41.307622,0.884413,0.655585,0.194137,0.729129,0.404880,0.259155,0.646690,0.356549,0.261011,0.664629,0.363723,0.262961,0.701396,0.387827,0.260260,0.729115,0.404882,0.259150,-0.237724,-0.064500,0.173223
located60,sample_00219,134.376139,36.442311,76.190272,41.448786,0.884955,0.650422,0.200833,0.838936,0.481472,0.257198,0.800450,0.444294,0.265933,0.804254,0.445459,0.266498,0.833911,0.480386,0.256235,0.838941,0.481470,0.257200,-0.084505,-0.034682,0.049823
located60,sample_00220,132.989390,36.086431,74.734907,40.901068,0.895698,0.631467,0.200729,0.739932,0.397482,0.263435,0.725536,0.379147,0.270801,0.729079,0.379151,0.272120,0.701717,0.382489,0.259622,0.739994,0.397506,0.263440,-0.170162,-0.010853,0.159309
located60,sample_00221,130.513769,39.777664,74.026563,42.014512,0.871299,0.600203,0.207356,0.722365,0.367653,0.280651,0.727980,0.360304,0.288601,0.737943,0.362175,0.291039,0.718532,0.365055,0.281149,0.722418,0.367663,0.280663,-0.143319,0.015578,0.158897
located60,sample_00222,141.237215,28.756315,72.769521,40.492372,0.935673,0.717582,0.273445,0.467415,0.350689,0.279510,0.347067,0.247746,0.293781,0.350930,0.249378,0.295106,0.275004,0.206375,0.279446,0.467431,0.350653,0.279548,-0.588606,-0.116485,0.472121
