path,slab,tile,z0,y0,x0,win_lo_z,win_lo_y,win_lo_x,win_hi_z,win_hi_y,win_hi_x,clamped,n_vox,n_pred,n_lab,n_pred_and_lab,n_pred_near_lab,coverage_strict,coverage_near4,reverse_strict,status
z0/tile_y2688_x1344.npz,z0,tile_y2688_x1344,0,2688,1344,64,2880,1536,192,3008,1664,0,2097152,793814,6920,6920,7095,0.008717,0.008938,1.0,ok
z0/tile_y2688_x1792.npz,z0,tile_y2688_x1792,0,2688,1792,64,2880,1984,192,3008,2112,0,2097152,803324,16295,16295,16415,0.020284,0.020434,1.0,ok
z0/tile_y2688_x2240.npz,z0,tile_y2688_x2240,0,2688,2240,64,2880,2432,192,3008,2560,0,2097152,806051,17095,17095,17289,0.021208,0.021449,1.0,ok
z0/tile_y2688_x2688.npz,z0,tile_y2688_x2688,0,2688,2688,64,2880,2880,192,3008,3008,0,2097152,810691,24038,24038,24248,0.029651,0.02991,1.0,ok
z0/tile_y2688_x3136.npz,z0,tile_y2688_x3136,0,2688,3136,64,2880,3328,192,3008,3456,0,2097152,810379,23533,23533,23930,0.029039,0.029529,1.0,ok
z0/tile_y2688_x448.npz,z0,tile_y2688_x448,0,2688,448,64,2880,640,192,3008,768,0,2097152,816900,30467,30467,30468,0.037296,0.037297,1.0,ok
z0/tile_y2688_x896.npz,z0,tile_y2688_x896,0,2688,896,64,2880,1088,192,3008,1216,0,2097152,794455,0,0,0,0.0,0.0,,ok
z0/tile_y3136_x1344.npz,z0,tile_y3136_x1344,0,3136,1344,64,3328,1536,192,3456,1664,0,2097152,823652,37022,37022,37173,0.044949,0.045132,1.0,ok
z0/tile_y3136_x1792.npz,z0,tile_y3136_x1792,0,3136,1792,64,3328,1984,192,3456,2112,0,2097152,822317,35440,35440,35743,0.043098,0.043466,1.0,ok
z0/tile_y3136_x2240.npz,z0,tile_y3136_x2240,0,3136,2240,64,3328,2432,192,3456,2560,0,2097152,805195,15143,15143,15603,0.018807,0.019378,1.0,ok
z0/tile_y3136_x2688.npz,z0,tile_y3136_x2688,0,3136,2688,64,3328,2880,192,3456,3008,0,2097152,814687,28208,28208,28229,0.034624,0.03465,1.0,ok
z0/tile_y3136_x448.npz,z0,tile_y3136_x448,0,3136,448,64,3328,640,192,3456,768,0,2097152,798932,9810,9810,12494,0.012279,0.015638,1.0,ok
z0/tile_y3136_x896.npz,z0,tile_y3136_x896,0,3136,896,64,3328,1088,192,3456,1216,0,2097152,808225,21647,21647,21774,0.026783,0.026941,1.0,ok
z0/tile_y3584_x1344.npz,z0,tile_y3584_x1344,0,3584,1344,64,3776,1536,192,3797,1664,1,344064,133167,489,489,579,0.003672,0.004348,1.0,ok
z0/tile_y3584_x1792.npz,z0,tile_y3584_x1792,0,3584,1792,64,3776,1984,192,3797,2112,1,344064,130752,1185,1185,1199,0.009063,0.00917,1.0,ok
z0/tile_y3584_x2240.npz,z0,tile_y3584_x2240,0,3584,2240,64,3776,2432,192,3797,2560,1,344064,129024,0,0,0,0.0,0.0,,ok
z0/tile_y3584_x896.npz,z0,tile_y3584_x896,0,3584,896,64,3776,1088,192,3797,1216,1,344064,215057,0,0,0,0.0,0.0,,ok
z0/tile_y448_x0.npz,z0,tile_y448_x0,0,448,0,64,640,192,192,768,320,0,2097152,1591570,0,0,0,0.0,0.0,,ok
z0/tile_y448_x1344.npz,z0,tile_y448_x1344,0,448,1344,64,640,1536,192,768,1664,0,2097152,840825,53669,53669,54384,0.063829,0.064679,1.0,ok
z0/tile_y448_x1792.npz,z0,tile_y448_x1792,0,448,1792,64,640,1984,192,768,2112,0,2097152,835589,47986,47986,49025,0.057428,0.058671,1.0,ok
z0/tile_y448_x2240.npz,z0,tile_y448_x2240,0,448,2240,64,640,2432,192,768,2560,0,2097152,829619,41873,41873,42205,0.050473,0.050873,1.0,ok
z0/tile_y448_x2688.npz,z0,tile_y448_x2688,0,448,2688,64,640,2880,192,768,3008,0,2097152,820476,33673,33673,33919,0.041041,0.041341,1.0,ok
z0/tile_y448_x3136.npz,z0,tile_y448_x3136,0,448,3136,64,640,3328,192,768,3456,0,2097152,799117,11701,11701,12649,0.014642,0.015829,1.0,ok
z0/tile_y448_x448.npz,z0,tile_y448_x448,0,448,448,64,640,640,192,768,768,0,2097152,814643,27436,27436,27934,0.033679,0.03429,1.0,ok
z0/tile_y448_x896.npz,z0,tile_y448_x896,0,448,896,64,640,1088,192,768,1216,0,2097152,838677,50713,50713,51933,0.060468,0.061923,1.0,ok
z0/tile_y896_x0.npz,z0,tile_y896_x0,0,896,0,64,1088,192,192,1216,320,0,2097152,826222,37978,37978,39315,0.045966,0.047584,1.0,ok
z0/tile_y896_x1344.npz,z0,tile_y896_x1344,0,896,1344,64,1088,1536,192,1216,1664,0,2097152,829576,36971,36971,42254,0.044566,0.050934,1.0,ok
z0/tile_y896_x1792.npz,z0,tile_y896_x1792,0,896,1792,64,1088,1984,192,1216,2112,0,2097152,852598,63834,63834,65427,0.07487,0.076738,1.0,ok
z0/tile_y896_x2240.npz,z0,tile_y896_x2240,0,896,2240,64,1088,2432,192,1216,2560,0,2097152,845856,56330,56330,57465,0.066595,0.067937,1.0,ok
z0/tile_y896_x2688.npz,z0,tile_y896_x2688,0,896,2688,64,1088,2880,192,1216,3008,0,2097152,872544,79657,79657,85670,0.091293,0.098184,1.0,ok
z0/tile_y896_x3136.npz,z0,tile_y896_x3136,0,896,3136,64,1088,3328,192,1216,3456,0,2097152,803773,11951,11951,12267,0.014869,0.015262,1.0,ok
z0/tile_y896_x3584.npz,z0,tile_y896_x3584,0,896,3584,64,1088,3776,192,1216,3797,1,344064,215030,0,0,0,0.0,0.0,,ok
z0/tile_y896_x448.npz,z0,tile_y896_x448,0,896,448,64,1088,640,192,1216,768,0,2097152,919066,117264,117264,132159,0.12759,0.143797,1.0,ok
z0/tile_y896_x896.npz,z0,tile_y896_x896,0,896,896,64,1088,1088,192,1216,1216,0,2097152,900820,111780,111780,113602,0.124087,0.12611,1.0,ok
z10080/tile_y1344_x0.npz,z10080,tile_y1344_x0,10080,1344,0,10144,1536,192,10272,1664,320,0,2097152,635588,6311,6311,6537,0.009929,0.010285,1.0,ok
z10080/tile_y1344_x1344.npz,z10080,tile_y1344_x1344,10080,1344,1344,10144,1536,1536,10272,1664,1664,0,2097152,595462,593037,593037,595143,0.995928,0.999464,1.0,ok
z10080/tile_y1344_x1792.npz,z10080,tile_y1344_x1792,10080,1344,1792,10144,1536,1984,10272,1664,2112,0,2097152,657244,654500,654500,656558,0.995825,0.998956,1.0,ok
z10080/tile_y1344_x2240.npz,z10080,tile_y1344_x2240,10080,1344,2240,10144,1536,2432,10272,1664,2560,0,2097152,548450,546705,546705,548344,0.996818,0.999807,1.0,ok
z10080/tile_y1344_x2688.npz,z10080,tile_y1344_x2688,10080,1344,2688,10144,1536,2880,10272,1664,3008,0,2097152,555521,553346,553346,555383,0.996085,0.999752,1.0,ok
z10080/tile_y1344_x448.npz,z10080,tile_y1344_x448,10080,1344,448,10144,1536,640,10272,1664,768,0,2097152,677872,675611,675611,677448,0.996665,0.999375,1.0,ok
z10080/tile_y1344_x896.npz,z10080,tile_y1344_x896,10080,1344,896,10144,1536,1088,10272,1664,1216,0,2097152,563576,562041,562041,563473,0.997276,0.999817,1.0,ok
z10080/tile_y1792_x0.npz,z10080,tile_y1792_x0,10080,1792,0,10144,1984,192,10272,2112,320,0,2097152,1252873,0,0,0,0.0,0.0,,ok
z10080/tile_y1792_x1344.npz,z10080,tile_y1792_x1344,10080,1792,1344,10144,1984,1536,10272,2112,1664,0,2097152,616196,612338,612338,614970,0.993739,0.99801,1.0,ok
z10080/tile_y1792_x1792.npz,z10080,tile_y1792_x1792,10080,1792,1792,10144,1984,1984,10272,2112,2112,0,2097152,569114,567774,567774,569075,0.997645,0.999931,1.0,ok
z10080/tile_y1792_x2240.npz,z10080,tile_y1792_x2240,10080,1792,2240,10144,1984,2432,10272,2112,2560,0,2097152,726614,725065,725065,726533,0.997868,0.999889,1.0,ok
z10080/tile_y1792_x2688.npz,z10080,tile_y1792_x2688,10080,1792,2688,10144,1984,2880,10272,2112,3008,0,2097152,420140,417949,417949,418872,0.994785,0.996982,1.0,ok
z10080/tile_y1792_x448.npz,z10080,tile_y1792_x448,10080,1792,448,10144,1984,640,10272,2112,768,0,2097152,462492,461708,461708,462471,0.998305,0.999955,1.0,ok
z10080/tile_y1792_x896.npz,z10080,tile_y1792_x896,10080,1792,896,10144,1984,1088,10272,2112,1216,0,2097152,561785,559686,559686,561516,0.996264,0.999521,1.0,ok
z10080/tile_y2240_x0.npz,z10080,tile_y2240_x0,10080,2240,0,10144,2432,192,10272,2560,320,0,2097152,262144,0,0,0,0.0,0.0,,ok
z10080/tile_y2240_x1344.npz,z10080,tile_y2240_x1344,10080,2240,1344,10144,2432,1536,10272,2560,1664,0,2097152,657580,653691,653691,656543,0.994086,0.998423,1.0,ok
z10080/tile_y2240_x1792.npz,z10080,tile_y2240_x1792,10080,2240,1792,10144,2432,1984,10272,2560,2112,0,2097152,686569,684546,684546,686248,0.997053,0.999532,1.0,ok
