case,n_pairs_tight_raw,clean_2-3,clean_3-4,clean_4-5,clean_5-6.01,ccpass_2-3,ccpass_3-4,ccpass_4-5,ccpass_5-6.01,n_tight_final,n_loose_final
seed0_pitch160,2222336,39165,12714,0,0,15619,12326,0,0,300,0
seed0_pitch200,4108544,21298,14739,9064,3573,11097,14687,9064,3573,300,0
seed0_pitch250,7434240,21846,9969,4841,10347,9479,9969,4832,10347,300,0
seed0_pitch300,8352512,9856,23140,4896,9683,9387,23139,4896,9683,300,100
seed1_pitch160,2222336,39026,12773,0,0,15536,12384,0,0,300,0
seed1_pitch200,4108544,21322,14923,9071,3576,11059,14846,9071,3576,300,0
seed1_pitch250,7434240,21936,10104,4776,10336,9532,10104,4769,10336,300,0
seed1_pitch300,8352512,10106,22935,4978,9650,9641,22929,4978,9650,300,100
